"Campaign","Ad group","Keyword","Criterion Type","Status"
"退職リリーフ｜初期検証","AG05_雇止め契約満了","離職票","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG05_雇止め契約満了","休職満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG05_雇止め契約満了","介護","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG05_雇止め契約満了","育児","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG05_雇止め契約満了","配偶者転勤","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","自己都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","解雇","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","会社都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","雇止め","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","契約満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","離職票","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","休職満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","体調不良","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","介護","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","育児","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG06_退職勧奨倒産","配偶者転勤","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","自己都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","解雇","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","会社都合","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","雇止め","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","契約満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","退職勧奨","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","倒産","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","休職満了","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","体調不良","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","介護","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","育児","Negative Phrase","Enabled"
"退職リリーフ｜初期検証","AG07_離職票手続き","配偶者転勤","Negative Phrase","Enabled"
