"Campaign","Sitelink text","Final URL","Description line 1","Description line 2","Status"
"退職リリーフ｜初期検証","給付金の仕組み","https://taishoku-relief.com/about/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=sitelink_about","受給条件と開始時期","制度の基本を確認","Enabled"
"退職リリーフ｜初期検証","サポート内容","https://taishoku-relief.com/service/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=sitelink_service","できること・できないこと","相談前に確認","Enabled"
"退職リリーフ｜初期検証","受給までの流れ","https://taishoku-relief.com/flow/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=sitelink_flow","退職前後の手続きを確認","状況別の流れを見る","Enabled"
"退職リリーフ｜初期検証","料金・返金条件","https://taishoku-relief.com/commerce/?utm_source=google&utm_medium=cpc&utm_campaign=taishoku_relief_initial&utm_content=sitelink_commerce","契約前に総額を確認","支払方法と条件を見る","Enabled"
